Sno.,Requirements,Multi_Class,NewClass
1428,software will work long server upon which it is installed in running there are no time limit to using software however it is also possible to stop software from running should there be need,Functionality,NSR
1429,system shall allow time to fetch student detail from database to be second to be tested during developmentâ,Performance,NSR
1430,system shall allow background process to be monitoring for any scan and relaying information to registry about any unusual activity,IntrusionD,NSR
1431,system shall allow user to generate monthly report which can be viewed by network admin when necessary,Functionality,NSR
1432,this feature work on system defined query ie user english language phrase and return them command for that specific query,Functionality,NSR
1433,system shall allow user to check with student laptop and university pc register and search for device matching rogue node and corresponding student and student personal detail,Functionality,NSR
1434,every input input and returned output of system will be remotely accessed at backend server of system,Functionality,NSR
1435,history feature allows user to maintain their history of all search they made and are executed on system,Functionality,NSR
1436,console interaction feature allows user to have terminalbased interaction console screen with system,Functionality,NSR
1437,system shall allow user to logout,Functionality,NSR
1438,system shall allow user to type english language phrase,Functionality,NSR
1439,system shall provide list recommended command to help user,Functionality,NSR
1440,system shall allow user to be able to remotely access website application server,Functionality,NSR
1441,system shall allow user to recover unique identifier of node which wa used to generate nodeâs unique idfingerprint upon registration when owner enteredjoined university with it,Auditing,NSR
1442,system shall allow user to access all hisher typed query,Functionality,NSR
1443,system shall provide console screen to user where they get result of query they typed,Functionality,NSR
1444,when user click on about disease it will be routed to about disease,Functionality,NSR
1445,product can be corrected by update patch and with newer version when required,Maintainability,NSR
1446,hid is designed to work on window platform from window and any later version of window but software need some adjustment for it to work on linux platform,Portability,NSR
1447,system shall provision good quality online service making it easy to use since an upfront user interface will be delivered,Usability,NSR
1448,human therapist feature provides some already embedded professional on application so that user can directly consult with himher and share their case,Functionality,NSR
1449,userâs availability feature show available user to therapist,Functionality,NSR
1450,system show text box for enter information,Functionality,NSR
1451,system user interface should be almost selfexplanatory,Usability,NSR
1452,system shall allow file type filtering to avoid overloading of normal flow information with unnecessary file,Immunity,NSR
1453,system should be simple and user friendly,Usability,NSR
1454,system shall be able to autonomously schedule irrigation without farmer input,Functionality,NSR
1455,system shall be able to save water by reducing water applied to plant,Functionality,NSR
1456,system shall be able to control water pump for application of water to crop being irrigated,Functionality,NSR
1457,system shall be able to calculate maximum soil water deficit,Functionality,NSR
1458,framework ought to be accessible wherever it is required at whatever point client need to make purchase,Availability,NSR
1459,software is delivered with user manual and once installed software is easy to run,Usability,NSR
1460,control panel also known console is user interface for id,Functionality,NSR
1461,framework should exhibit high rate of work handling and that of administrationsâ client,Performance,NSR
1462,system shall offer high throughput which is yield in respect to measure of going through framework from contribution to yield,Performance,NSR
1463,systemâs time to react to tolerating exchange to happen or dismissing it hindering card and cautioning head be brief in order to advance an easy to understand framework,Performance,NSR
1464,laser fencing can provide continuous monitoring and detecting capability,Functionality,NSR
1465,when user open application welcome screen will be displayed,Functionality,NSR
1466,system shall allow buying pattern of purchase to be analyzed,Functionality,NSR
1467,system shall allow debitcredit card to be activated,Functionality,NSR
1468,main page of app will be home page where user will see two main option upload image using camera or using gallery,Functionality,NSR
1469,when user click on home remedy it will be routed to home remedy page,Functionality,NSR
1470,system should provide functionality to allow user to view and read temperature humidity and soil moisture content state of plant from nursery stage up to harvesting,Functionality,NSR
1471,system is able to create user account,Functionality,NSR
1472,system shall provide short response time on service offered,Performance,NSR
1473,system operation shall be fast both in capturing detail and retrieving data,Performance,NSR
1474,system shall allow that number of patient record increase with time and capacity of system to hold these record must also increase record increase,Maintainability,NSR
1475,system should be easy to use and understand,Usability,NSR
1476,system shall ensure that nontechnical user like medical practitioner can interact with it with easy,Usability,NSR
1477,it should have userfriendly interface,User-Friendly,NSR
1478,system shall allow data input into system to be encrypted before being sent to database instance on our cloud server for storage,Confidentiality,NSR
1479,system shall enable user such medical practitioner to enter data into system,Functionality,NSR
1480,system shall notify administrator of who access system in case data breach occurs,Auditing,NSR
1481,system shall apply realtime monitoring of data being accessed,Performance,NSR
1482,system shall allow administrator to assign role to user,Authorization,NSR
1483,conduct user testing and ensure that user can easily use and navigate system,Usability,NSR
1484,smart contract issue token based on erc interface for ethereum blockchain,Functionality,NSR
1485,blockchain land registry system smart contract store data,Functionality,NSR
1486,system user interface shall communicate with blockchain land registry smart contract using webjs,Functionality,NSR
1487,transaction data is validated by smart contract,Authentication,NSR
1488,system should be easy to update and maintain system should have wellorganized and documented code,Maintainability,NSR
1489,system shall create transaction sent to ethereum protocol,Functionality,NSR
1490,system shall communicate with django api to get corresponding ethereum address of entered national id,Functionality,NSR
1491,system shall allow council to select location on google map or manually enter coordinate of location of stand,Functionality,NSR
1492,system shall allow capturing of stand detail such location district ward and stand number,Functionality,NSR
1493,system shall allow capturing of national id for person stand is issued to,Functionality,NSR
1494,system shall use simple to understand command for user operation and same will apply to querying and editing segment,Usability,NSR
1495,system should be able to work with different type of input device,Adaptability,NSR
1496,test system on different operating system and hardware configuration and ensure that it can work with different type of input device,Adaptability,NSR
1497,test system for stability and ensure that it can handle different type of user input without crashing or freezing,Reliability,NSR
1498,system should not crash or freeze during use it should be able to handle different type of user input,Reliability,NSR
1499,system should keep record of time and date to facilitate data analytics,Functionality,NSR
1500,test system for response time and ensure that there is no noticeable delay in mouse movement,Performance,NSR
1501,this can be measured in term of ease of use,Usability,NSR
1502,admin side panel or application interface must be user friendly,User-Friendly,NSR
1503,there must be no complexity in system usability,Usability,NSR
1504,smart campus project should be correct in term of it functionality calculation used internally and navigation should be correct,Accuracy,NSR
1505,system shall allow user to download file when they want to use them upon answering correctly randomly generated question from their profile,Authentication,NSR
1506,system shall allow user to upload data file of any type to their cloud account with description of not le than word,Functionality,NSR
1507,system shall allow people to connect to their account after they initially register with system and sign in to access it,Authorization,NSR
1508,system shall allow user to create cloud account,Functionality,NSR
1509,should be flexible enough to modify adaptable to other product with which it need interaction,Adaptability,NSR
1510,should be easy to interface with other standard rd party component,User-Friendly,NSR
1511,system shall process video footage in reasonable time,Performance,NSR
1512,software reuse is good costefficient and timesaving development method,Accuracy,NSR
1513,system shall allow new system administrator to be able to use it without steep learning curve,Usability,NSR
1514,divide application into different module so that module can be reused across application,Accuracy,NSR
1515,interoperability of one system to another should be easy for product to exchange data or service with other system,Confidentiality,NSR
1516,different system module should work on different operating system platform different database and protocol condition,Confidentiality,NSR
1517,system shall enable loading feeding video file for processing into system,Functionality,NSR
1518,system shall allow administrator to log in to access system,Authentication,NSR
1519,system log data shall be maintained without burdening user,Performance,NSR
1520,system shall maintain audit log,Auditing,NSR
1521,system shall be deployed over cloud and accessible both on web and mobile platform for portability,Portability,NSR
1522,system should respond to user input in timely manner it should not experience any significant delay in mouse movement,Performance,NSR
1523,system shall ensure that system record shall be encrypted and stored in cloud cyphertext,Confidentiality,NSR
1524,design of application will try to focus on simplicity to make it simple possible for user to use,User-Friendly,NSR
1525,product should be scaled according to framework of working of organization,Performance,NSR
1526,user should be able to use it at same time without lagging due to multiple user,Performance,NSR
1527,adaptability of proposed product to internal system is required following rule regulation and procedure already in effect this would be ensured by structuring system according to organizationâs structure,Adaptability,NSR
1528,should be easy to interface with other standard rd party component,User-Friendly,NSR
1529,flexibility is important in application architecture business need can change rapidly,Accuracy,NSR
1530,user interface is to be designed for being userfriendly and intuitive for making it easy to navigate app and accessing feature,User-Friendly,NSR
1531,load time for interface screen shall take no longer than two second,Performance,NSR
1532,system must be fast at detecting speech command and using window speech algorithm and multithreading will help to achieve this,Performance,NSR
1533,system shall respond to user via voice synthesis and graphical display,Functionality,NSR
1534,system shall activate known command on speech command dictation,Functionality,NSR
1535,system shall receive speech input from microphone,Functionality,NSR
1536,system shall allow an employer to add speech command,Functionality,NSR
1537,device web application shall be supported by all browser type,Accuracy,NSR
1538,system shall be able to work in normal way after restarting,Reliability,NSR
1539,system ensures that user is properly authenticated for every system access,Authentication,NSR
1540,expert will need day of training to completely understand system,Adaptability,NSR
1541,graphical user interface of sl is to be designed with usability in such manner that is both visually appealing and easy for user,Usability,NSR
1542,system is able to log out when user click logout icon,Functionality,NSR
1543,system is able to provide user with âopen cameraââ option,Functionality,NSR
1544,system is able to open mobile phoneâs camera when user select associated option,Functionality,NSR
1545,system is able to take input image of stock provided by user,Functionality,NSR
1546,system is able to scan uploaded image for stock count,Functionality,NSR
1547,system is able to recognize and count object in image,Functionality,NSR
1548,system is able to produce result on screen for user,Functionality,NSR
1549,system is able to produce list of scan on homepage for user,Functionality,NSR
1550,system allows user to take screenshots of image and result well save in mobile phoneâs gallery,Functionality,NSR
1551,system shall be very simple to use simple voice instruction will assist user with operation guideline,Usability,NSR
1552,system should be adaptable to other product with which it need interaction,Accuracy,NSR
1553,system shall start clock when an employee log in and stop clock when employee log out,Functionality,NSR
1554,system should function properly even if there are people on website making query or utilizing service from given service system response should be seamless and not hindered by heavy traffic,Performance,NSR
1555,website shall allow any updating of clientâs kyc information,Functionality,NSR
1556,authority of viewing and editing specified information is according to regulation of fia,Authorization,NSR
1557,product is required to be according to legal law followed by organization in country,Confidentiality,NSR
1558,system shall send request to client to allow for consent of use of clientsâ kyc information,Functionality,NSR
1559,system shall perform real time updating and processing of kyc information depending on change made to client kyc profile,Performance,NSR
1560,system shall store client kyc information in decentralised database using blockchain,Functionality,NSR
1561,system shall be able to capture and verify client kyc information,Functionality,NSR
1562,image should not take more than second to generate,Performance,NSR
1563,processing of provided request should be seamless and quick so that user receives response in matter of second,Performance,NSR
1564,system shall allow minimal delay between uploading and viewing data irrespective of number of operation executing,Performance,NSR
1565,system shall enable data multiple replication,Survivability,NSR
1566,system should be maintainable for development it should be easy to add code to existing system and it should be easy to upgrade for new feature and new technology from time to time,Maintainability,NSR
1567,provision of oauth token should be encrypted,Confidentiality,NSR
1568,system should not store any personal information of user like location name etc,Confidentiality,NSR
1569,system shall allow customer to upload document,Functionality,NSR
1570,system shall allow customer to register,Functionality,NSR
1571,system shall calculate salary of each employee at end of month,Functionality,NSR
1572,oauth should expire in minute,Confidentiality,NSR
1573,system should be available all time to user,Availability,NSR
1574,interface of system must make sense to average user and should require minimal explanation for how to use it,Usability,NSR
1575,system shall add up all hour worked by an employee per month,Functionality,NSR
1576,system should incorporate all necessary characteristic so it can be wrapped around by other apps and scale in size,Scalability,NSR
1577,system should use report âgenerating module to produce report that can be conveniently used by management in decision making,Functionality,NSR
1578,system shall refresh display every second,Performance,NSR
1579,system super administrator should be able to grant access privilege to user and restrict access of information and data user can view or modify at any given time,Authorization,NSR
1580,website should appeal to all african not only nigerian,User-Friendly,NSR
1581,izognmovies shall meet licensing requirement set forth by appropriate organization in order to stream african movie,Legal,NSR
1582,website will comply with wc standard,Legal,NSR
1583,php code will comply with pear standard,Legal,NSR
1584,website will allow customer to search for movie by title actor or director,Functionality,NSR
1585,viewing movie detail website will display movie description actor and director entered in by administrator,Functionality,NSR
1586,shall be able to stream purchased movie via window medium player for up to day aftere purchase date,Functionality,NSR
1587,website shall allow customer to browse movie by category entered in by izogn administrator,Functionality,NSR
1588,website shall allow customer to view review of selected movie by other customer,Functionality,NSR
1589,website shall allow customer to add their own movie review for selected movie,Functionality,NSR
1590,website shall allow izogn administrator to approve review posted by customer,Functionality,NSR
1591,system will allow customer to pay for streaming movie with prepaid card,Functionality,NSR
1592,website shall allow customer to purchase prepaid card of or value either by credit card or mailin payment option,Functionality,NSR
1593,system shall automatically update main page of website every friday and show latest movie that have been added to website,Functionality,NSR
1594,system shall allow user to update their billing and contact information via account section of website,Functionality,NSR
1595,prepaid card shall be distributed via email or via printed paper card,Functionality,NSR
1596,website should use flash to provide animation on home page,Operational,NSR
1597,website shall not be offensive to religious or ethnic group,User-Friendly,NSR
1598,response time shall be fast enough to maintain flow of game response time shall be no more than second for of response and no more than for remaining response,Performance,NSR
1599,website should cater to all tribe in nigeria,User-Friendly,NSR
1600,website must interface with cybersource api to process credit card transaction,Operational,NSR
1601,website must be fully operational with msn tv,Operational,NSR
1602,movie shall be encoded and streamed via window medium player,Operational,NSR
1603,movie shall be encoded for k and k stream,Operational,NSR
1604,promotional update to website should take day to update,Maintainability,NSR
1605,izogn administrator must be able to update category listing on website within minute,Performance,NSR
1606,izogn administrator must be able to add new product to website within minute,Performance,NSR
1607,system will provide hour toll free number for support to it customer,Availability,NSR
1608,website will provide help section with answer and solution to common problem,Usability,NSR
1609,velkat staff will be available for phone support between ampm mf to provide technical support to izogn administrator,Availability,NSR
1610,product shall be able to be installed in specified environment within working day,Operational,NSR
1611,only registered customer can purchase streaming movie,Confidentiality,NSR
1612,customer can only stream movie if they purchased it and are within day viewing period,Confidentiality,NSR
1613,only administrator can activate prepaid card,Confidentiality,NSR
1614,all credit card information will be encrypted in database,Confidentiality,NSR
1615,movie can only be streamed if customer ha purchased movie and is within day time period to stream movie,Functionality,NSR
1616,website must be able to support free trial period with various parameter set by izogn manager,Functionality,NSR
1617,all streaming movie sale will be logged in database and accessible by administrator,Functionality,NSR
1618,all registered customer information shall be stored and maintained in database even after customer cancel their account,Functionality,NSR
1619,lead washing functionality will store any potential lead duplicate returned by enterprise system,Functionality,NSR
1620,prior to submitting lead to enterprise system lead washing functionality will assign lead to an admission rep,Functionality,NSR
1621,lead washing functionality shall receive period list of available rep from enterprise system,Functionality,NSR
1622,product shall simulate look of ship at sea,User-Friendly,NSR
1623,product shall display grid within circle view from periscope,User-Friendly,NSR
1624,product shall display each type of ship in grid using an image of specific type of ship,User-Friendly,NSR
1625,when offensive player take shot product shall simulate sound of ship at sea,User-Friendly,NSR
1626,when shot is marked miss product shall simulate sound of shot missing it target,User-Friendly,NSR
1627,when shot is marked hit product shall simulate sound of shot hitting it target,User-Friendly,NSR
1628,when ship is sunk product shall simulate sound of sinking ship,User-Friendly,NSR
1629,product shall be available hour per day seven day per week,Availability,NSR
1630,product shall able to handle large number of game simultaneously,Performance,NSR
1631,response time shall be fast enough to maintain flow of game response time shall be no more than second for of response and no more than for remaining response,Performance,NSR
1632,product shall be intuitive and selfexplanatory nine out ten user shall be able to successfully complete game with no training,Usability,NSR
1633,product shall be available to player who understand english spanish and french product shall allow user to select language upon accessing product,Usability,NSR
1634,lead washing functionality will verify user authentication and right to make parameter update,Functionality,NSR
1635,lead washing functionality will have an interface in which lead data parameter can be maintained,Functionality,NSR
1636,lead washing functionality will return lead data supplied to vendor along with reason of rejection,Functionality,NSR
1637,lead washing process will operate within established physical web service structure,Operational,NSR
1638,daily usage statistic should be logged and accessible by administrator,Functionality,NSR
1639,owner shall have free access to all of streaming movie,Functionality,NSR
1640,total lead cycle time must be completed in minute for of lead volume between business hour of am cst to pm cst then minute for of lead volume during off business hour,Performance,NSR
1641,no lead evaluation will complete in time period longer than second for of all lead processed,Performance,NSR
1642,for lead that process longer than second system will record event and duration,Performance,NSR
1643,process must fit within processing time condition set forth by auto rep assignment process in which lead is assigned within minute of total life cycle,Performance,NSR
1644,washing process must use non binding neutral data format such xml when receiving and processing lead data,Operational,NSR
1645,lead washing functionality will use parameter supplied by corporate and school to score part of lead,Functionality,NSR
1646,vendor will verify invalid lead,Functionality,NSR
1647,if lead is scored to high range system will supply lead data and score to enterprise system,Functionality,NSR
1648,lead washing functionality will insert all lead captured by web service,Functionality,NSR
1649,if lead score fall within high average score then it will be process by ara functionality,Functionality,NSR
1650,if lead score fall within low average then it will be returned to supplying vendor,Functionality,NSR
1651,lead washing functionality will compile both contact and academic scoring information for total score,Functionality,NSR
1652,we must be able to interface with following browser ie x netscape x x x and firefox,Operational,NSR
1653,same hardware supporting current website will be used to support new system,Operational,NSR
1654,all aspect of website shall be accessed by web browser over internet,Operational,NSR
1655,rms system shall have window xp look and feel and use gui future making it use intuitive,Functionality,NSR
1656,system shall utilize currently owned computer equipment,Operational,NSR
1657,system shall granularly control access right to all major subsystem it should be possible to assign access right to all subsystem independently,Confidentiality,NSR
1658,system shall meet all applicable accounting standard final version of system must successfully pas independent audit performed by certified auditor,Legal,NSR
1659,system shall not require additional third party license resulting in royalty fee,Operational,NSR
1660,system shall allow generation of inventory quantity adjustment document on demand,Functionality,NSR
1661,system shall allow on demand generation of all inventory quantity adjustment document since certain point of time,Functionality,NSR
1662,iqa subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredient accordingly,Functionality,NSR
1663,system shall allow entering storing and modifying product formula,Functionality,NSR
1664,product formula shall allow use of semiproducts which have own formula,Functionality,NSR
1665,product formula ingredient shall allow defining substitutionary ingredient,Functionality,NSR
1666,product formula substitutionary ingredient shall be entered automatically by pfe subsystem,Functionality,NSR
1667,formula substitutionary ingredient shall be kept in persisted order,Functionality,NSR
1668,product shall allow entering storing and modifying product menu used by po terminal,Functionality,NSR
1669,pme subsystem shall allow building product menu based on list of product kept in accounting system,Functionality,NSR
1670,pme subsystem shall allow keeping submenu within menu and product within submenu in managed and persisted order,Functionality,NSR
1671,system shall allow for minimum of user to work at same time,Performance,NSR
1672,recreation of inventory quantity adjustment for period of previous day shall take no more than min,Performance,NSR
1673,product will display an available status for unreserved conference room,Functionality,NSR
1674,product shall send meeting confirmation to meeting organizer,Functionality,NSR
1675,product shall be able to delete room equipment,Functionality,NSR
1676,product shall allow an organizer to invite other employee to meeting,Functionality,NSR
1677,each time conference room is reserved conference room schedule shall be updated to reflect time and date of reservation,Functionality,NSR
1678,product shall record transportation status of equipment reserved,Functionality,NSR
1679,product shall display map of company building showing conference room location,Functionality,NSR
1680,product shall record updated meeting agenda,Functionality,NSR
1681,product shall display room equipment according to search parameter,Functionality,NSR
1682,product shall have an intuitive user interface,Functionality,NSR
1683,product shall display conference room according to search parameter,Functionality,NSR
1684,product shall record different meeting type,Functionality,NSR
1685,product shall record all equipment that ha been reserved,Functionality,NSR
1686,product will allow priviledged user to view meeting schedule in multiple reporting view,Functionality,NSR
1687,product shall be able to send meeting notification via different kind of enduser specified method,Functionality,NSR
1688,product shall have customizable look and feel,Functionality,NSR
1689,pme subsystem shall allow for product to exist in more than one submenu,Functionality,NSR
1690,system shall generate inventory quantity adjustment document based on product daily sale data and product formula,Functionality,NSR
1691,website shall be capable of supporting customer,Scalability,NSR
1692,system shall generate inventory quantity adjustment document automatically when daily product sale data is available,Functionality,NSR
1693,product shall be easy for customer with novice skill on internet to purchase and watch streaming movie customer should be able to purchase and watch predetermined movie in under minute,Usability,NSR
1694,product shall use symbol and word that are naturally understandable by user familiar with website,Usability,NSR
1695,website will use standard internet convention when interacting with user,Usability,NSR
1696,any interface between user and automated system shall have maximum response time of second unless noted by an exception below,Performance,NSR
1697,when purchasing streaming movie or prepaid card via credit card processing time should have maximum response time of second,Performance,NSR
1698,when streaming movie buffering time should take no longer than second plus any latency on user connection,Performance,NSR
1699,while streaming movie buffering should only occur if there is latency in user connection,Performance,NSR
1700,website shall be available for use hour per day day per year,Availability,NSR
1701,website shall achieve up time,Availability,NSR
1702,all movie shall be streamed on demand at any time of day,Availability,NSR
1703,website shall continue to operate if streaming server go down,Fault Tolerance,NSR
1704,website shall continue to operate if payment gateway go down,Fault Tolerance,NSR
1705,streaming server will support simultaneous streaming connection,Scalability,NSR
1706,streaming server will support maximum of movie new server can be added to support more movie,Scalability,NSR
1707,server will support maximum of simultaneous user,Scalability,NSR
1708,product shall retain customer buying preference and information,Usability,NSR
1709,an anonymous survey will show that of customer are comfortable using and purchasing prepaid card after month of using system,Usability,NSR
1710,an anonymous survey will show that of customer are comfortable purchasing streaming movie after week using website,Usability,NSR
1711,system shall let administrator addremove category on website in under minute,Performance,NSR
1712,customer shall be able to check status of their prepaid card by entering in pin number in under second,Performance,NSR
1713,system shall let customer register on website pay you go user in under minute,Performance,NSR
1714,system shall let customer register on website unlimited movie subscriber user in under minute,Performance,NSR
1715,system shall let customer cancel their account process shall take no longer than minute database will mark account inactive and user will not be able to log into website,Performance,NSR
1716,system shall let administrator deactivate customer account in under minute customer will no longer be able to access website,Performance,NSR
1717,system shall let administrator addremove movie on website in under minute entered movie information will be stored in database and will now be available on website,Performance,NSR
1718,system shall let izogn manager access sale and usage statistic in under minute,Performance,NSR
1719,user should be able to access their streaming movie in under click after logging into website,Usability,NSR
1720,system shall let administrator generate unique prepaid pin in under minute and generate an excel file with generated pin,Performance,NSR
1721,website shall be attractive to all audience website shall appear to be fun and color should be bright and vibrant,User-Friendly,NSR
1722,website should have an african feel but should not alienate nonafricans website should use animation on page which are describing service to grab user attention and encourage them to sign up,User-Friendly,NSR
1723,website design should be modern clean and concise,User-Friendly,NSR
1724,product should be able to be used by of novice user on internet,Usability,NSR
1725,user should only have to navigate through maximum of page to create an account with website,Usability,NSR
1726,product shall provide player no access to information that might reveal identity of another player,Confidentiality,NSR
1727,product shall maintain list of player,Functionality,NSR
1728,product shall be able to store new room equipment,Functionality,NSR
1729,system shall use smtp mail protocol,Operational,NSR
1730,system shall support ability to perform send only operation,Functionality,NSR
1731,system shall support ability to perform receive only operation,Functionality,NSR
1732,system shall use textbased interface to display listing of available mail,User-Friendly,NSR
1733,system shall have help system that offer tip and explanation for each screen and each item on screen upon demand,Usability,NSR
1734,system shall display and embed in each message datetimestamp of when message wa sent,Functionality,NSR
1735,system shall allow text search that user may use to find mail message,Functionality,NSR
1736,system search feature should support use of regular expression in search,Functionality,NSR
1737,system shall provide an option to withdraw money,Functionality,NSR
1738,system shall query user for amount of money,Functionality,NSR
1739,system shall query user for account type,Functionality,NSR
1740,system shall validate amount is available in user account before releasing fund to user,Functionality,NSR
1741,system shall validate amount is multiple of,Functionality,NSR
1742,system shall debit user account upon withdrawal of fund,Functionality,NSR
1743,system shall be able to issue specific amount of money to user,Functionality,NSR
1744,meeting scheduler system shall be able to select participant an important participant,Functionality,NSR
1745,system shall support ability to perform send and receive operation,Functionality,NSR
1746,system shall be evoked by typing pine into command or shell prompt,Operational,NSR
1747,product shall allow user to identify himself or herself player,Functionality,NSR
1748,system shall operate on unix and window operating system,Portability,NSR
1749,application shall have downtime of at most minute per year,Availability,NSR
1750,application shall run on web application server,Operational,NSR
1751,primary database will be used to store cached data for active user,Operational,NSR
1752,secondary database will be used to store historical statistic and data,Operational,NSR
1753,application update shall occur between am and am cst on wednesday morning during middle of nfl season,Maintainability,NSR
1754,new system version release shall be released at beginning of each nfl season,Maintainability,NSR
1755,rf system should be available especially during budgeting period rf system shall be available of time all year and during budgeting period of time system will become available within hour of time that situation is reported,Availability,NSR
1756,of user workstation shall meet minimum hardware requirement prior to implementation minimum hard disk space mb,Operational,NSR
1757,of user workstation shall meet minimum software requirement prior to implementation microsoft internet explorer microsoft net framework microsoft internet explorer web control,Operational,NSR
1758,rf system should be able to easily interface with bdw environment in order to load data data file shall be received from bdw and loaded into rf system within hour one day prior to start of budgeting process every year data will be of october monthend test file shall be loaded up to time throughout year from bdw,Operational,NSR
1759,change to revenue and expense formula must be applied to rf system every year prior to budgeting process start revenue and expense formula will be updated within one week of their receipt after which week will be allotted to testing of budget calculation to be conducted jointly by project development team and pcg finance,Maintainability,NSR
1760,new branchescomplexesdistrictsregions and revenueexpense account added to bdw must be reflected in rf system of entity mentioned above available of october monthend will be loaded into rf system prior to budget start process,Maintainability,NSR
1761,intranet page should display appropriately in all resolution from x and higher display of all page will be correct in of resolution prior to implementation remaining will be corrected within week of notification of incorrect display,User-Friendly,NSR
1762,user should be able to easily use system to successfully complete their budget within stipulated time for completion with week of training prior to product implementation of user shall complete their budget within stipulated time,Usability,NSR
1763,product interface should be fast response time of product interface should not exceed second of time for of time response time should not be more than secondsnot be more than second,Performance,NSR
1764,meeting scheduler system shall cancel meeting due to canceling of an important participant,Functionality,NSR
1765,meeting scheduler system shall reschedule meeting to support conflict resolution,Functionality,NSR
1766,meeting scheduler shall be accessed from web,Operational,NSR
1767,meeting scheduler system may optionally automatically propose another meeting if current meeting is canceled by an important participant,Functionality,NSR
1768,programmer and application developer will have access to source code to address bug or system enhancement deemed necessary network administrator and dba support is also required to maintain x system uptime,Availability,NSR
1769,online registration system is selfservice style system that shall initially address student registration need,Functionality,NSR
1770,all data entry form for application should match their microsoft excel hardcopy counterpart closely possible hardcopies of these form were provided to design team during second requirement interview,Operational,NSR
1771,of user will not need to read user manual to be able to use application,Usability,NSR
1772,change made to manage id website can be adopted without altering io application,Maintainability,NSR
1773,application should be connected to internet,Availability,NSR
1774,application should be connected to gps device,Availability,NSR
1775,application should be easy to extend code should be written in way that it favor implementation of new function,Maintainability,NSR
1776,test environment should be built for application to allow testing of application different function,Maintainability,NSR
1777,application should be portable with io and android,Portability,NSR
1778,system shall show tabbed display or equivalent functionality with campus map on one tab and info on most recently announced building on other,User-Friendly,NSR
1779,system shall allow user to scroll campus map from campus map tab,Usability,NSR
1780,campus map shall provide visual clue regarding what area have prepared audio and therefore may be selected,User-Friendly,NSR
1781,campus map shall have pauseresume button pause and resume button will allow user to scroll and select other building without being interrupted by automatic search and announce feature,User-Friendly,NSR
1782,system shall provide way to return to startup screen,Usability,NSR
1783,user shall be required to log in to cafeteria ordering system for all operation except viewing menu,Functionality,NSR
1784,all network transaction that involve financial information or personally identifiable information shall be encrypted,Confidentiality,NSR
1785,system shall display confirmation message to user within second after user submits information to system,Performance,NSR
1786,system must be easy to use by both manager and chef such that they do not need to read an extensive amount of manual,Usability,NSR
1787,meeting scheduler system may provide meeting initiator summary of scan of potential meeting participant showing available time slot and schedule conflict mean of informing meeting initiator of overall result of system,Functionality,NSR
1788,meeting scheduler system may be able to include an agenda for meeting proposal,Functionality,NSR
1789,meeting scheduler system may suggest virtual meeting for available time slot if no location is available or feasible for meeting,Functionality,NSR
1790,meeting scheduler system may be able to include list of required equipment for meeting proposal,Functionality,NSR
1791,meeting scheduler system will temporarily reserve time slot for proposed meeting,Functionality,NSR
1792,meeting scheduler system will inform potential meeting participant of meeting,Functionality,NSR
1793,system must be quickly accessible by both manager and chef,Usability,NSR
1794,response to query shall take no longer than second to load onto screen after user submits query,Performance,NSR
1795,system must be intuitive and simple in way it display all relevant data and relationship,Usability,NSR
1796,menu of system must be easily navigable by user with button that are easy to understand,Usability,NSR
1797,all function of system must be available to user every time system is turned on,Availability,NSR
1798,calculation performed by system must comply according to norm set by user and should not vary unless explicitly changed by user,Legal,NSR
1799,client should agree to eula before using our software,Legal,NSR
1800,all web page generated by system shall be fully downloadable in no more than second over kbps modem connection,Performance,NSR
1801,application shall be able to complete every user transaction within one fourth of second of receiving request over network,Performance,NSR
1802,application shall ask user to confirm dropping player or trading player before performing action,Usability,NSR
1803,user shall be able to view at least nfl player statistic and point on each page,Usability,NSR
1804,product shall provide gui based monitoring servicessystem administrator shall monitor message exchange will predict and determine problem and will also provide internal and external support,User-Friendly,NSR
1805,notification of game ending will include reason game is ended ie player ha won game or player ha ended game,Functionality,NSR
1806,when game is ended product shall allow each player to identify himself or herself an available player in list of player,Functionality,NSR
1807,when game is ended product shall allow each player to remove himself or herself from list of player,Functionality,NSR
1808,system shall be easy to use by caller and supervisor caller and supervisor must be able to accomplish any system task within minute,Usability,NSR
1809,system shall be easy to learn by caller and supervisor caller and supervisor shall learn how to use system within minute,Usability,NSR
1810,system shall be responsive at depaul teleservices center when supervisor us system to view caller schedule system response time must be no more than second of time and no more than second rest of time,Performance,NSR
1811,on k connection system response time for all operation must be no more than second of time,Performance,NSR
1812,on k connection or faster system response time for all operation must be no more than second of time,Performance,NSR
1813,system shall have high availability every day of yearthe system must be available for use between am and pm all day of year,Availability,NSR
1814,system must be available for use between am and pm all day of year,Availability,NSR
1815,product shall be internet browser independentthe product must run using internet explorer and netscape navigator,Maintainability,NSR
1816,product shall ensure that only supervisor can advertise empty time slotsthe product must ensure that supervisor are allowed to access advertise empty time slot,Confidentiality,NSR
1817,product shall ensure that only supervisor can enter caller schedulethe product must ensure that supervisor are allowed to access advertise empty time slot,Confidentiality,NSR
1818,product shall ensure that only supervisor can view schedule of all callersthe product must ensure that supervisor are allowed to access advertise empty time slot,Confidentiality,NSR
1819,interface shall have simple look in interface and usability survey of beta tester must report that interface is adequately simple,User-Friendly,NSR
